step,temp,current_cost,best_cost
25400,20.84,5593.5,5325.8
25440,20.73,5595.7,5325.8
25480,20.63,5514.4,5325.8
25520,20.52,5514.4,5325.8
25560,20.42,5523.7,5325.8
25600,20.32,5548.2,5325.8
25640,20.22,5548.2,5325.8
25680,20.12,5557.1,5325.8
25720,20.02,5557.1,5325.8
25760,19.92,5506.4,5325.8
25800,19.82,5516.0,5325.8
25840,19.72,5460.3,5325.8
25880,19.62,5413.1,5325.8
25920,19.52,5501.5,5325.8
25960,19.42,5472.6,5325.8
26000,19.33,5472.6,5325.8
26040,19.23,5416.7,5325.8
26080,19.13,5350.8,5325.8
26120,19.04,5350.8,5325.8
26160,18.94,5350.8,5325.8
26200,18.85,5350.8,5325.8
26240,18.75,5354.7,5325.8
26280,18.66,5418.3,5325.8
26320,18.57,5416.8,5325.8
26360,18.47,5359.2,5325.8
26400,18.38,5271.5,5271.5
26440,18.29,5217.1,5217.1
26480,18.2,5193.4,5193.4
26520,18.11,5172.0,5172.0
26560,18.02,5172.0,5172.0
26600,17.93,5156.0,5156.0
26640,17.84,5156.0,5156.0
26680,17.75,5156.0,5156.0
26720,17.66,5228.6,5156.0
26760,17.57,5262.0,5156.0
26800,17.48,5277.5,5156.0
26840,17.4,5210.7,5156.0
26880,17.31,5200.0,5156.0
26920,17.22,5200.0,5156.0
26960,17.14,5178.9,5156.0
27000,17.05,5145.3,5135.6
27040,16.96,5115.5,5115.5
27080,16.88,5119.1,5115.5
27120,16.8,5099.3,5099.3
27160,16.71,5120.4,5099.3
27200,16.63,5055.3,5055.3
27240,16.54,5055.3,5055.3
27280,16.46,5016.7,5016.7
27320,16.38,5031.2,5016.7
27360,16.3,5031.2,5016.7
27400,16.22,5031.2,5016.7
27440,16.14,5031.2,5016.7
27480,16.05,4996.1,4996.1
27520,15.97,4966.0,4966.0
27560,15.89,4966.0,4966.0
27600,15.82,4896.5,4896.5
27640,15.74,4882.0,4882.0
27680,15.66,4941.7,4882.0
27720,15.58,4941.7,4882.0
27760,15.5,4791.4,4791.4
27800,15.42,4791.4,4791.4
27840,15.35,4801.8,4791.4
27880,15.27,4801.8,4791.4
27920,15.19,4845.1,4791.4
27960,15.12,4871.7,4791.4
28000,15.04,4763.3,4763.3
28040,14.97,4763.3,4763.3
28080,14.89,4729.6,4729.6
28120,14.82,4729.6,4729.6
28160,14.74,4686.8,4686.8
28200,14.67,4658.2,4658.2
28240,14.6,4658.2,4658.2
28280,14.52,4658.2,4658.2
28320,14.45,4658.2,4658.2
28360,14.38,4658.2,4658.2
28400,14.31,4658.2,4658.2
28440,14.23,4658.2,4658.2
28480,14.16,4658.2,4658.2
28520,14.09,4670.2,4658.2
28560,14.02,4670.2,4658.2
28600,13.95,4670.2,4658.2
28640,13.88,4697.1,4658.2
28680,13.81,4697.1,4658.2
28720,13.74,4748.4,4658.2
28760,13.68,4715.0,4658.2
28800,13.61,4699.1,4658.2
